RaumID;DislozierungID;Kurzbezeichnung;Bezeichnung;Code;UPISBez
133;NULL;OG240;Abstellraum;O2;NULL
134;NULL;OG241;Lehrerzimmer;O2;NULL
135;NULL;T01;Gang;T;NULL
136;NULL;T02;Schularzt;T;NULL
137;NULL;T10;Garderobe;T;NULL
138;NULL;T11;Lehrerzimmer;T;NULL
139;NULL;T13;WC;T;NULL
140;NULL;T14;Dusche;T;NULL
141;NULL;T15;Geräteraum;T;NULL
142;NULL;T16;Turnsaal HTBLA;T;T16
143;NULL;T17;Lehrerzimmer;T;NULL
144;NULL;T18;Garage;T;NULL
145;NULL;T19;Werkstatt;T;NULL
146;NULL;T03;Garderobe;T;NULL
147;NULL;T06;Dusche;T;NULL
148;NULL;T07;Dusche;T;NULL
149;NULL;U01;Stiege Mitte;U;NULL
150;NULL;U02;Gang;U;NULL
151;NULL;U03;Lehrerzimmer;U1;NULL
152;NULL;U04;LABOR;U;U04
153;NULL;U05;Lager;U;NULL
154;NULL;U06;Lager;U;NULL
155;NULL;U07;Werkst. Kunststoff;U;U07
156;NULL;U08;Werkst. Nachrichte;U1;U08
157;NULL;U10;LABOR;U1;U10
158;NULL;U58;Garderobe;U;NULL
159;NULL;U70;Instrumente;U;NULL
160;NULL;U71;LABOR;U1;U71
161;NULL;U72;LABOR;U1;U72
162;NULL;U73;LABOR;U1;U73
163;NULL;U74;Werkst. Gerätebau;U1;U74
164;NULL;U76;Werkstatt;U1;NULL
165;NULL;U75;Dunkelkammer;U1;NULL
166;NULL;U77;Werkstatt;U;NULL
167;NULL;U78a;kein Bezeichnung;U;NULL
168;NULL;U78;Werkstatt;U;NULL
169;NULL;U79;Werkstatt;U;NULL
170;NULL;U81;Werkst. SPS;U;U81
171;NULL;U82;Werkst. Computerte;U;U82
172;NULL;U83;Werkst. Hochfreque;U;U83
173;NULL;U84;Werkst. Grundlagen;U;U84
174;NULL;U85;Werkst. Installati;U;U85
175;NULL;U86;Werkst. CNC;U;U86
176;NULL;U87;Werkst. Drehen;U;U87
177;NULL;U88;Werkst. Blechbearb.;U;U88
178;NULL;U89;Werkst. Grundlagen;U;U89
179;NULL;U90;Lager;U;NULL
180;NULL;U91;Werkstättenleiter;U;NULL
181;NULL;U92;Lehrerzimmer;U;NULL
182;NULL;E58;CTV;E;E58-2
183;NULL;NULL;Turnsaal Doppl;T;Tdopp
184;NULL;NULL;Turnsaal Traun;T;Ttraun
185;NULL;NULL;Turnsaal Fremd;T;T
186;NULL;NULL;Schwimmhalle;NULL;S
187;NULL;NULL;EDV2 Traun;NULL;TEDV2
188;NULL;NULL;EDV1 Traun;NULL;TEDV1
189;NULL;OG109;EDV1;O1;109-b
190;NULL;OG108;EDV2;O1;108-b
191;NULL;NULL;2DHD;NULL;KD-1
192;NULL;NULL;2EHD;NULL;KD-2
193;NULL;NULL;2BHD;NULL;KD-3
194;NULL;NULL;2CHD;NULL;KD-4
195;NULL;NULL;1CHD;NULL;KT-1
196;NULL;NULL;1DHD;NULL;KT-2
197;NULL;NULL;1EHD;NULL;KT-3
198;NULL;NULL;5BHD;NULL;CON-2
199;NULL;NULL;5.Jg Elektronik;NULL;CON-1
200;NULL;OG135;PRRV-Lab-b;O1;135-b
201;NULL;OG135;PRRV-Lab-c;O1;135-c
202;NULL;NULL;DUMMY 1 3AHE;NULL;DUMY1
203;NULL;NULL;DUMMY 2 3BHE;NULL;DUMY2
204;NULL;NULL;DUMMY 3 3CHE;NULL;DUMY3
205;NULL;NULL;Andere Schule;NULL;A1
206;NULL;NULL;NULL;NULL;Con2
207;NULL;NULL;NULL;NULL;dummy
208;NULL;E74;Lehrerzimmer;NULL;NULL
209;NULL;OG254;Lehrerzimmer;NULL;NULL
210;NULL;E71;NULL;NULL;E71
211;NULL;E72;NULL;NULL;E72
212;NULL;OG152;NULL;NULL;NULL
213;NULL;OG153;NULL;NULL;NULL
214;NULL;OG154;NULL;NULL;NULL
215;NULL;OG151;NULL;NULL;NULL
